index,tails,heads,LargestTailStreak,LargestHeadStreak
311,500166,499834,18,20
312,499948,500052,22,18
313,500215,499785,18,20
314,500244,499756,23,18
315,500354,499646,19,21
316,499352,500648,19,20
317,500614,499386,17,21
318,499329,500671,20,19
319,499281,500719,22,17
320,499874,500126,18,20
321,499877,500123,19,16
322,499734,500266,19,18
323,499748,500252,17,18
324,499974,500026,18,18
325,500427,499573,18,18
326,500959,499041,19,17
327,500202,499798,18,18
328,499749,500251,24,17
329,499840,500160,19,17
330,499762,500238,22,21
331,500382,499618,18,20
332,499723,500277,20,20
333,500130,499870,20,18
334,500156,499844,18,16
335,499953,500047,16,20
336,500185,499815,18,18
337,499307,500693,19,18
338,500181,499819,24,19
339,499590,500410,21,21
340,500312,499688,20,18
341,500479,499521,19,21
342,500191,499809,18,24
343,500291,499709,22,19
344,500071,499929,20,18
345,500464,499536,19,19
346,499384,500616,19,23
347,499671,500329,21,20
348,500537,499463,21,23
349,500531,499469,20,18
350,500434,499566,17,18
351,499884,500116,18,20
352,499474,500526,17,18
353,499304,500696,23,20
354,499738,500262,19,20
355,500741,499259,18,18
356,500161,499839,17,19
357,500027,499973,21,19
358,499509,500491,19,19
359,499892,500108,17,21
360,499270,500730,18,21
361,500882,499118,17,18
362,500138,499862,23,19
363,500118,499882,17,21
364,500458,499542,22,18
365,500619,499381,18,17
366,500104,499896,20,18
367,499969,500031,20,18
368,500730,499270,18,19
369,499739,500261,20,19
370,500436,499564,22,19
371,499822,500178,19,20
372,500643,499357,18,19
373,499406,500594,17,17
374,499171,500829,20,20
375,500671,499329,20,20
376,499501,500499,21,25
377,498816,501184,17,18
378,500384,499616,22,18
379,500965,499035,18,18
380,500007,499993,19,18
381,499745,500255,19,17
382,499093,500907,25,18
383,499693,500307,25,18
384,500081,499919,19,19
385,499804,500196,18,18
386,500762,499238,21,18
387,500263,499737,21,21
388,500123,499877,23,17
389,500722,499278,18,16
390,499596,500404,19,23
391,499334,500666,19,17
392,500134,499866,21,18
393,499917,500083,21,18
394,499571,500429,22,20
395,499460,500540,18,19
396,500205,499795,20,20
397,499957,500043,17,21
398,499612,500388,17,23
399,500051,499949,17,19
400,499732,500268,22,18
401,499971,500029,19,20
402,499948,500052,17,22
403,500608,499392,23,18
404,499572,500428,19,20
405,500275,499725,18,22
406,500502,499498,18,17
407,500404,499596,21,18
408,500596,499404,18,19
409,500365,499635,21,21
410,500632,499368,19,18
411,499059,500941,18,20
412,500783,499217,20,22
413,500489,499511,17,20
414,499578,500422,20,18
415,500096,499904,17,22
416,499165,500835,21,18
417,499871,500129,21,21
418,499905,500095,22,23
419,499905,500095,20,18
420,499594,500406,22,18
421,499983,500017,19,21
422,499974,500026,19,18
423,499225,500775,21,18
424,499737,500263,16,19
425,500327,499673,20,17
426,499239,500761,20,19
427,500731,499269,18,22
428,499994,500006,17,23
429,498800,501200,18,18
430,499200,500800,18,24
431,500238,499762,18,18
432,499242,500758,20,20
433,499295,500705,19,18
434,500806,499194,23,18
435,499793,500207,16,19
436,499424,500576,19,21
437,499353,500647,18,20
438,500449,499551,19,17
439,499038,500962,18,18
440,499931,500069,18,19
441,499561,500439,17,19
442,499876,500124,17,19
443,500284,499716,17,18
444,500528,499472,19,18
445,500139,499861,20,18
446,500178,499822,18,21
447,500650,499350,19,19
448,499836,500164,20,18
449,500838,499162,16,20
450,499765,500235,21,19
451,500454,499546,20,19
452,499736,500264,17,22
453,499882,500118,19,18
454,501145,498855,18,17
455,500084,499916,18,18
456,500597,499403,18,21
457,499579,500421,20,19
458,499698,500302,17,20
459,500514,499486,19,18
460,500195,499805,18,21
461,500021,499979,21,18
462,499618,500382,18,20
463,500137,499863,20,20
464,500573,499427,17,18
465,499312,500688,18,17
466,499313,500687,27,19
467,499848,500152,20,19
468,499908,500092,17,18
469,500009,499991,20,21
470,499764,500236,18,19
471,500071,499929,19,20
472,500088,499912,19,19
473,500177,499823,20,19
474,500837,499163,22,20
475,499831,500169,18,18
476,499518,500482,21,19
477,500434,499566,17,17
478,499625,500375,19,20
479,500864,499136,21,18
480,500186,499814,22,20
481,500829,499171,20,20
482,499815,500185,20,20
483,500331,499669,19,18
484,500030,499970,17,21
485,500342,499658,17,17
486,499392,500608,22,20
487,499722,500278,18,17
488,500175,499825,17,18
489,499954,500046,20,20
490,499528,500472,17,19
491,500809,499191,17,21
492,500718,499282,18,18
493,501051,498949,20,18
494,500683,499317,18,21
495,500215,499785,19,18
496,499835,500165,18,21
497,500365,499635,23,19
498,499422,500578,18,18
499,500058,499942,19,18
500,500266,499734,18,19
501,499553,500447,20,22
502,499806,500194,21,18
503,500165,499835,17,22
504,500334,499666,18,21
505,500365,499635,26,18
506,500144,499856,21,19
507,500075,499925,19,20
508,500497,499503,19,19
509,499756,500244,18,18
510,499611,500389,18,19
511,500207,499793,20,20
512,500865,499135,18,17
513,499577,500423,18,22
514,499457,500543,20,23
515,499871,500129,19,17
516,499816,500184,22,22
517,500517,499483,19,20
518,499106,500894,18,23
519,500600,499400,20,17
520,500173,499827,18,19
521,500628,499372,19,22
522,500156,499844,22,17
523,499925,500075,21,19
524,500443,499557,21,17
525,499295,500705,18,19
526,501276,498724,18,18
527,500237,499763,30,20
528,499599,500401,21,23
529,499657,500343,21,20
530,500535,499465,17,18
531,499445,500555,20,19
532,500652,499348,18,21
533,499654,500346,17,18
534,500615,499385,20,20
535,500314,499686,17,18
536,499924,500076,21,20
537,500188,499812,20,22
538,499302,500698,25,21
539,499686,500314,18,18
540,500612,499388,19,19
541,499884,500116,21,20
542,500069,499931,18,20
543,500051,499949,24,27
544,500028,499972,18,19
545,500451,499549,17,21
546,500191,499809,24,20
547,500058,499942,18,18
548,500113,499887,20,18
549,500098,499902,18,19
550,500027,499973,17,19
551,499729,500271,19,19
552,500464,499536,18,19
553,500600,499400,19,18
554,499624,500376,16,18
555,501246,498754,18,21
556,500425,499575,22,20
557,500379,499621,18,18
558,499726,500274,17,20
559,500234,499766,18,18
560,500244,499756,19,18
561,500521,499479,20,18
562,499353,500647,22,19
563,499969,500031,19,19
564,500074,499926,19,20
565,498949,501051,18,18
566,499603,500397,18,19
567,499396,500604,17,17
568,499524,500476,20,21
569,499595,500405,19,19
570,499510,500490,19,18
571,499161,500839,22,18
572,499752,500248,20,21
573,499948,500052,18,21
574,499453,500547,16,19
575,501048,498952,18,19
576,500868,499132,18,17
577,500694,499306,21,19
578,500096,499904,17,17
579,499532,500468,20,19
580,499600,500400,18,19
581,499771,500229,20,20
582,500391,499609,20,19
583,499765,500235,18,19
584,499660,500340,18,20
585,499207,500793,18,19
586,500117,499883,18,18
587,499509,500491,19,17
588,499708,500292,19,17
589,500329,499671,19,17
590,500435,499565,21,19
591,499972,500028,18,17
592,500514,499486,21,21
593,499729,500271,18,19
594,499706,500294,17,18
595,499632,500368,19,22
596,499768,500232,17,19
597,500040,499960,20,20
598,499546,500454,22,18
599,499999,500001,22,26
600,499714,500286,18,19
601,498900,501100,18,19
602,499795,500205,20,19
603,500885,499115,18,20
604,499903,500097,17,19
605,500473,499527,19,19
606,500403,499597,23,22
607,500040,499960,18,18
608,500653,499347,19,21
609,500892,499108,17,18
610,499880,500120,19,18
611,500382,499618,19,19
612,500829,499171,17,21
613,500820,499180,17,18
614,500166,499834,18,16
615,499968,500032,16,19
616,500004,499996,18,17
617,499804,500196,20,21
618,500174,499826,23,21
619,500395,499605,19,19
620,499962,500038,19,20
621,500223,499777,19,19
622,499467,500533,17,19
623,500150,499850,22,22
624,498846,501154,18,18
625,499875,500125,20,22
626,499784,500216,22,20
627,499229,500771,18,19
628,500169,499831,19,20
629,499715,500285,19,23
630,500646,499354,18,17
631,500072,499928,21,17
632,500064,499936,19,20
633,500332,499668,21,18
634,500286,499714,22,16
635,499865,500135,22,20
636,500700,499300,18,19
637,499818,500182,21,18
638,500265,499735,22,20
639,500463,499537,18,19
640,500461,499539,18,20
641,500473,499527,19,18
642,499735,500265,20,26
643,499659,500341,17,20
644,500785,499215,20,18
645,499808,500192,18,26
646,499147,500853,20,21
647,499102,500898,21,19
648,499239,500761,21,18
649,500553,499447,17,18
650,499695,500305,23,20
651,499794,500206,18,18
652,500120,499880,20,20
653,499404,500596,24,26
654,499938,500062,19,17
655,500067,499933,18,17
656,500097,499903,21,20
657,500559,499441,19,18
658,498765,501235,18,18
659,500914,499086,23,19
660,500040,499960,18,21
661,500418,499582,18,20
662,499958,500042,18,17
663,500634,499366,18,20
664,500307,499693,20,18
665,500131,499869,19,20
666,501206,498794,21,21
667,499779,500221,16,21
668,500257,499743,20,19
669,499855,500145,18,19
670,499981,500019,20,19
671,498903,501097,23,20
672,500222,499778,19,21
673,499611,500389,21,16
674,500375,499625,21,23
675,499652,500348,20,17
676,499075,500925,20,18
677,499915,500085,19,17
678,498487,501513,17,28
679,499608,500392,22,18
680,499487,500513,20,18
681,500459,499541,20,21
682,500056,499944,19,21
683,501093,498907,20,22
684,499642,500358,18,17
685,499648,500352,17,18
686,500409,499591,25,18
687,500228,499772,19,18
688,500136,499864,21,20
689,500455,499545,21,17
690,500395,499605,20,20
691,501058,498942,23,17
692,499719,500281,21,18
693,500501,499499,20,20
694,499216,500784,20,19
695,499819,500181,20,21
696,499673,500327,18,18
697,500082,499918,18,19
698,500228,499772,18,21
699,499850,500150,20,19
700,499639,500361,19,22
701,500005,499995,20,18
702,499657,500343,19,17
703,499567,500433,20,20
704,499476,500524,17,25
705,500483,499517,18,20
706,499279,500721,19,21
707,499612,500388,17,17
708,500024,499976,20,23
709,499095,500905,19,20
710,500057,499943,18,21
711,500418,499582,17,19
712,499358,500642,18,20
713,499833,500167,17,19
714,500650,499350,18,18
715,500172,499828,21,19
716,499804,500196,22,20
717,499982,500018,24,19
718,499789,500211,20,18
719,500350,499650,17,25
720,500305,499695,19,18
721,500366,499634,18,18
722,500609,499391,18,23
723,500875,499125,18,24
724,499601,500399,18,19
725,499362,500638,22,18
726,500073,499927,20,17
727,499990,500010,17,16
728,499416,500584,18,20
729,501138,498862,20,18
730,500425,499575,23,19
731,499497,500503,17,20
732,499944,500056,17,17
733,500348,499652,22,17
734,500155,499845,21,18
735,499456,500544,19,18
736,498389,501611,18,19
737,499416,500584,20,20
738,500106,499894,16,21
739,500713,499287,19,19
740,499894,500106,19,19
741,499358,500642,19,20
742,500409,499591,19,20
743,499856,500144,18,20
744,499126,500874,19,19
745,499638,500362,16,16
746,500145,499855,17,19
747,500317,499683,21,19
748,499939,500061,19,18
749,500626,499374,17,22
750,500910,499090,21,18
751,500826,499174,20,18
752,499700,500300,20,22
753,499676,500324,23,19
754,499944,500056,18,19
755,500842,499158,20,21
756,500339,499661,19,19
757,501011,498989,23,17
758,499383,500617,18,22
759,499221,500779,19,20
760,499856,500144,18,18
761,500348,499652,20,22
762,499858,500142,23,18
763,499735,500265,19,22
764,500192,499808,19,20
765,499859,500141,21,20
766,499421,500579,17,19
767,500409,499591,30,19
768,499369,500631,22,18
769,500366,499634,18,19
770,500028,499972,18,18
771,499934,500066,19,18
772,499698,500302,22,20
773,499922,500078,21,20
774,500292,499708,18,18
775,500533,499467,17,20
776,499542,500458,19,19
777,499690,500310,22,17
778,499339,500661,22,19
779,499835,500165,18,25
780,500754,499246,20,17
781,500958,499042,21,18
782,500277,499723,21,19
783,499471,500529,19,20
784,499720,500280,22,19
785,500993,499007,19,16
786,500520,499480,19,20
787,499444,500556,22,21
788,499583,500417,19,21
789,500289,499711,17,18
790,500106,499894,16,20
791,499933,500067,20,18
792,500278,499722,17,18
793,499580,500420,19,18
794,500095,499905,21,18
795,499923,500077,22,19
796,500373,499627,18,21
797,500634,499366,22,20
798,500409,499591,19,20
799,499916,500084,17,19
800,498815,501185,18,19
801,499720,500280,24,19
802,499710,500290,18,20
803,500320,499680,18,17
804,500308,499692,17,17
805,500378,499622,20,18
806,500049,499951,19,19
807,500272,499728,20,19
808,500041,499959,19,19
809,500872,499128,22,21
810,500302,499698,18,18
811,500371,499629,18,24
812,499650,500350,17,20
813,500390,499610,30,21
814,500698,499302,18,15
815,499984,500016,17,19
816,500441,499559,17,17
817,500099,499901,19,18
818,500238,499762,19,20
819,500838,499162,20,18
820,499206,500794,17,18
821,500745,499255,18,18
822,500070,499930,19,17
823,500689,499311,18,18
824,499889,500111,18,19
825,499887,500113,19,20
826,499206,500794,22,18
827,500836,499164,22,19
828,500122,499878,22,19
829,500466,499534,20,20
830,500181,499819,21,19
831,500129,499871,20,19
832,499640,500360,19,18
833,499236,500764,21,19
834,500694,499306,17,17
835,499932,500068,19,19
836,500342,499658,22,20
837,499699,500301,22,18
838,499912,500088,19,20
839,500659,499341,19,19
840,499498,500502,21,18
841,500479,499521,19,18
842,500622,499378,21,21
843,499930,500070,17,21
844,500705,499295,19,18
845,500303,499697,17,20
846,499802,500198,19,18
847,499980,500020,19,20
848,500260,499740,19,20
849,500718,499282,23,17
850,499694,500306,18,21
851,499606,500394,28,19
852,499714,500286,18,21
853,500391,499609,17,20
854,500455,499545,21,21
855,500025,499975,19,23
856,500102,499898,18,18
857,500158,499842,18,18
858,499457,500543,20,20
859,499892,500108,19,19
860,499611,500389,20,18
861,500738,499262,20,16
862,500044,499956,20,18
863,500439,499561,20,19
864,499845,500155,17,20
865,501156,498844,21,18
866,500418,499582,17,17
867,500116,499884,19,18
868,499468,500532,19,23
869,499573,500427,19,18
870,499905,500095,18,20
871,499854,500146,19,23
872,500235,499765,20,21
873,499849,500151,22,20
874,500002,499998,19,19
875,499696,500304,20,18
876,500522,499478,20,18
877,499620,500380,19,20
878,500376,499624,18,18
879,499698,500302,20,20
880,499209,500791,20,18
881,499343,500657,19,18
882,500219,499781,18,17
883,500635,499365,20,18
884,500867,499133,24,18
885,499568,500432,16,20
886,499867,500133,19,18
887,500598,499402,21,19
888,500153,499847,19,19
889,500281,499719,20,20
890,500039,499961,19,16
891,500281,499719,18,23
892,500843,499157,21,22
893,499252,500748,22,19
894,500250,499750,20,18
895,499656,500344,20,19
896,500741,499259,20,18
897,500144,499856,19,18
898,500022,499978,17,18
899,499849,500151,20,20
900,500035,499965,26,18
901,499452,500548,21,18
902,500442,499558,23,18
903,500006,499994,19,18
904,499759,500241,19,20
905,499827,500173,19,17
906,500575,499425,20,21
907,499600,500400,18,17
908,499938,500062,19,22
909,499799,500201,18,17
910,499314,500686,17,16
911,499877,500123,19,22
912,499666,500334,18,19
913,498498,501502,21,17
914,499878,500122,21,18
915,501029,498971,19,19
916,500347,499653,19,20
917,500563,499437,18,17
918,500155,499845,19,20
919,499829,500171,18,20
920,499620,500380,19,21
921,499505,500495,17,19
922,500860,499140,20,18
923,500154,499846,19,18
924,500725,499275,18,20
925,499896,500104,18,20
926,500363,499637,20,21
927,500237,499763,18,22
928,499343,500657,24,17
929,499676,500324,20,19
930,499704,500296,19,22
931,500678,499322,19,19
932,500280,499720,19,19
933,499360,500640,21,17
934,500094,499906,20,20
935,500702,499298,19,19
936,500371,499629,18,18
937,499881,500119,18,21
938,499586,500414,25,19
939,499111,500889,19,20
940,499633,500367,21,18
941,500476,499524,19,18
942,500614,499386,18,18
943,499815,500185,20,22
944,500120,499880,18,18
945,500243,499757,19,18
946,499583,500417,22,18
947,499709,500291,17,19
948,499460,500540,17,22
949,500286,499714,18,21
950,499258,500742,16,21
951,500056,499944,21,17
952,500353,499647,18,22
953,499977,500023,20,20
954,500343,499657,18,16
955,500432,499568,19,18
956,500631,499369,18,21
957,499896,500104,18,18
958,500473,499527,17,18
959,500829,499171,23,20
960,500118,499882,19,17
961,499872,500128,18,20
962,499421,500579,18,18
963,500526,499474,20,20
964,499965,500035,20,20
965,500803,499197,21,21
966,499529,500471,20,17
967,500154,499846,18,16
968,500002,499998,17,21
969,499917,500083,21,20
970,500584,499416,22,20
971,499506,500494,19,17
972,499995,500005,18,17
973,500339,499661,20,21
974,499588,500412,17,18
975,499593,500407,18,19
976,500605,499395,19,19
977,500650,499350,18,19
978,500196,499804,20,19
979,500200,499800,18,18
980,499217,500783,19,19
981,499824,500176,22,18
982,500032,499968,20,18
983,500026,499974,20,16
984,499405,500595,17,19
985,499190,500810,18,20
986,500653,499347,19,17
987,500193,499807,19,19
988,500024,499976,20,20
989,499777,500223,22,19
990,500378,499622,21,20
991,499446,500554,18,18
992,499662,500338,18,23
993,499857,500143,20,18
994,499688,500312,22,22
995,500015,499985,19,20
996,500056,499944,22,22
997,499477,500523,16,22
998,500823,499177,17,18
999,500142,499858,19,19
1000,499168,500832,19,17
